2026/03/31 10:31:20:983 ###########################################
2026/03/31 10:31:20:984 [GLOBAL] WSAStartup OK
2026/03/31 10:31:20:987 [CDeviceManager] 初始化
2026/03/31 10:31:20:988 [CDevice] Open: 设备类型: 1
2026/03/31 10:31:29:127 [CDevice] IP:10.10.10.151, Port:0, User:admin, Pwd:admin, Timeout:8000
2026/03/31 10:31:30:174 [CDevice] CAM_SerialOpen 打开串口成功
2026/03/31 10:31:30:174 [CDevice] Open End
2026/03/31 10:31:30:174 [CDevice] Open: 设备类型: 1
2026/03/31 10:31:30:175 [CDevice] IP:10.10.10.152, Port:0, User:admin, Pwd:admin, Timeout:8000
2026/03/31 10:31:30:408 [CDevice] CAM_SerialOpen 打开串口成功
2026/03/31 10:31:30:408 [CDevice] Open End
2026/03/31 10:31:30:408 [CDevice] Open: 设备类型: 1
2026/03/31 10:31:30:409 [CDevice] IP:10.10.10.153, Port:0, User:admin, Pwd:admin, Timeout:8000
2026/03/31 10:31:30:796 [CDevice] CAM_SerialOpen 打开串口成功
2026/03/31 10:31:30:796 [CDevice] Open End
2026/03/31 10:31:30:796 [CDevice] Open: 设备类型: 1
2026/03/31 10:31:30:797 [CDevice] IP:10.10.10.154, Port:0, User:admin, Pwd:admin, Timeout:8000
2026/03/31 10:31:31:818 [CDevice] CAM_SerialOpen 打开串口成功
2026/03/31 10:31:31:818 [CDevice] Open End
2026/03/31 10:31:31:818 [CDevice] CAM_SerialClose OK
2026/03/31 10:31:31:818 [CDevice] CAM_SerialClose OK
2026/03/31 10:31:31:818 [CDevice] CAM_SerialClose OK
2026/03/31 10:31:31:819 [CDevice] CAM_SerialClose OK
2026/03/31 10:31:31:819 [CDevice] CAM_SerialWrite OK
2026/03/31 10:31:31:819 [CDevice] CAM_SerialWrite OK
2026/03/31 10:31:31:819 [CDevice] CAM_SerialWrite OK
2026/03/31 10:31:31:820 [CDevice] CAM_SerialWrite OK
2026/03/31 10:33:43:765 [CDevice] CAM_SerialWrite OK
2026/03/31 10:33:43:767 [CDevice] CAM_SerialWrite OK
2026/03/31 10:33:48:770 [CDevice] CAM_SerialWrite OK
2026/03/31 10:33:48:785 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:01:892 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:06:913 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:15:300 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:20:352 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:23:494 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:28:566 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:32:282 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:37:349 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:49:705 [CDevice] CAM_SerialWrite OK
2026/03/31 10:34:54:764 [CDevice] CAM_SerialWrite OK
2026/03/31 10:35:19:693 [CDevice] CAM_SerialWrite OK
2026/03/31 10:35:24:727 [CDevice] CAM_SerialWrite OK
2026/03/31 10:35:49:622 [CDevice] CAM_SerialWrite OK
2026/03/31 10:35:54:672 [CDevice] CAM_SerialWrite OK
2026/03/31 10:36:16:453 [CDevice] CAM_SerialWrite OK
2026/03/31 10:36:21:579 [CDevice] CAM_SerialWrite OK
2026/03/31 10:37:52:409 [CDevice] CAM_SerialWrite OK
2026/03/31 10:37:52:495 [CDevice] CAM_SerialWrite OK
2026/03/31 10:37:56:363 [CDevice] CAM_SerialWrite OK
2026/03/31 10:37:57:412 [CDevice] CAM_SerialWrite OK
2026/03/31 10:37:57:506 [CDevice] CAM_SerialWrite OK
2026/03/31 10:38:01:373 [CDevice] CAM_SerialWrite OK
2026/03/31 10:38:52:113 [CDevice] CAM_SerialWrite OK
